r,z,pressure,ne
219.623,-150,1.3332,3.03E+13
222.0453,-150,1.3332,2.96E+13
219.6701,-145.624,1.3332,3.04E+13
209.6805,-145.005,1.3332,3.22E+13
205.7705,-150,1.3332,3.22E+13
214.7311,-150,1.3332,3.14E+13
215.9478,-145.08,1.3332,3.14E+13
202.2737,-145.002,1.3332,3.23E+13
196.8098,-150,1.3332,3.16E+13
195.8875,-144.96,1.3332,3.16E+13
192.0724,-150,1.3332,3.05E+13
191.8868,-144.678,1.3332,3.07E+13
189.8662,-150,1.3332,2.99E+13
180.3214,0,1.3332,4.17E+14
187,0,1.3332,3.91E+14
180.3214,0.766136,1.3332,7.04E+14
187,-6.81818,1.3332,3.27E+14
187.7648,-6.81818,1.3332,3.84E+14
225,78.32636,1.3332,4.76E+14
225,83.2,1.3332,4.85E+14
224.3225,78.32636,1.3332,6.32E+14
221.6133,85.08916,1.3332,8.79E+14
225,87.8,1.3332,4.84E+14
224.4067,91.80366,1.3332,5.34E+14
225,91.92158,1.3332,4.74E+14
0,4.594051,1.3332,1.18E+16
0,2.828239,1.3332,7.20E+15
3.973151,4.00272,1.3332,1.04E+16
4.56883,5.992545,1.3332,1.57E+16
0,7.493954,1.3332,1.95E+16
0,11.6917,1.3332,3.03E+16
5.189005,9.720912,1.3332,2.55E+16
5.365571,16.15244,1.3332,4.18E+16
0,19.06657,1.3332,4.86E+16
5.420443,23.84512,1.3332,5.97E+16
0,28.32417,1.3332,6.88E+16
5.468069,33.91598,1.3332,7.97E+16
0,38.85258,1.3332,8.69E+16
5.492516,43.80712,1.3332,9.32E+16
0,47.25482,1.3332,9.59E+16
5.515561,50.58949,1.3332,9.78E+16
0,54.00066,1.3332,9.85E+16
5.528954,57.34132,1.3332,9.84E+16
0,60.74685,1.3332,9.72E+16
5.541929,64.0774,1.3332,9.51E+16
0,69.35627,1.3332,8.98E+16
5.712811,70.93496,1.3332,8.79E+16
0,80.40561,1.3332,6.98E+16
5.74455,84.94541,1.3332,6.13E+16
0,89.6956,1.3332,5.02E+16
5.608358,92.30943,1.3332,4.42E+16
0,96.44803,1.3332,3.32E+16
0,105.3135,1.3332,9.14E+15
0,103.0515,1.3332,1.53E+16
5.27794,104.2293,1.3332,1.22E+16
0,100.7896,1.3332,2.16E+16
6.801637,102.0471,1.3332,1.83E+16
5.68782,98.1769,1.3332,2.88E+16
222.0383,-143.182,1.3332,3.00E+13
218.545,-139.888,1.3332,3.14E+13
222.0293,-136.364,1.3332,3.10E+13
206.0463,-140.006,1.3332,3.30E+13
213.1497,-139.965,1.3332,3.25E+13
215.4008,-135.288,1.3332,3.30E+13
219.1298,-132.929,1.3332,3.27E+13
222.021,-129.545,1.3332,3.28E+13
199.1209,-140.031,1.3332,3.27E+13
202.7392,-135.812,1.3332,3.38E+13
210.3603,-134.12,1.3332,3.41E+13
215.0433,-130.032,1.3332,3.46E+13
219.255,-126.825,1.3332,3.47E+13
222.0141,-122.727,1.3332,3.54E+13
189.8765,-143.182,1.3332,3.03E+13
193.2271,-139.268,1.3332,3.17E+13
197.041,-134.256,1.3332,3.36E+13
203.055,-130.581,1.3332,3.54E+13
210.6622,-127.17,1.3332,3.63E+13
215.4519,-123.86,1.3332,3.69E+13
220.0626,-122.154,1.3332,3.64E+13
222.0093,-115.909,1.3332,3.89E+13
189.8929,-136.364,1.3332,3.14E+13
192.4644,-132.101,1.3332,3.32E+13
196.9314,-127.862,1.3332,3.56E+13
203.479,-124.129,1.3332,3.79E+13
211.0546,-120.415,1.3332,3.94E+13
215.8576,-117.058,1.3332,4.03E+13
219.6622,-115.406,1.3332,4.01E+13
