r,z,pressure,power,ne
0,0,1.3332,100,7.05E+13
0,0.25839,1.3332,100,1.08E+14
0,0.620137,1.3332,100,1.8E+14
0,1.126582,1.3332,100,3.14E+14
0,1.835606,1.3332,100,5.47E+14
0,2.828239,1.3332,100,9.07E+14
0,4.594051,1.3332,100,1.59E+15
0,7.493954,1.3332,100,2.72E+15
0,11.6917,1.3332,100,4.32E+15
0,19.06657,1.3332,100,7.02E+15
0,28.32417,1.3332,100,1E+16
0,38.85258,1.3332,100,1.27E+16
0,47.25482,1.3332,100,1.4E+16
0,54.00066,1.3332,100,1.44E+16
0,60.74685,1.3332,100,1.43E+16
0,69.35627,1.3332,100,1.32E+16
0,80.40561,1.3332,100,1.03E+16
0,89.6956,1.3332,100,7.4E+15
0,96.44803,1.3332,100,4.88E+15
0,100.7896,1.3332,100,3.16E+15
0,103.0515,1.3332,100,2.24E+15
0,105.3135,1.3332,100,1.32E+15
0,106.2564,1.3332,100,9.5E+14
0,106.9299,1.3332,100,6.89E+14
0,107.4109,1.3332,100,5.12E+14
0,107.7546,1.3332,100,3.92E+14
0,108,1.3332,100,3.13E+14
3.973151,4.00272,1.3332,100,1.37E+15
4.56883,5.992545,1.3332,100,2.16E+15
5.189005,9.720912,1.3332,100,3.62E+15
5.27794,104.2293,1.3332,100,1.77E+15
5.365571,16.15244,1.3332,100,6.02E+15
5.420443,23.84512,1.3332,100,8.66E+15
5.468069,33.91598,1.3332,100,1.16E+16
5.492516,43.80712,1.3332,100,1.36E+16
5.515561,50.58949,1.3332,100,1.43E+16
5.528954,57.34132,1.3332,100,1.44E+16
5.541929,64.0774,1.3332,100,1.39E+16
5.608358,92.30943,1.3332,100,6.51E+15
5.68782,98.1769,1.3332,100,4.24E+15
5.712811,70.93496,1.3332,100,1.29E+16
5.74455,84.94541,1.3332,100,9.02E+15
6.678571,0,1.3332,100,7.06E+13
6.678571,0.25839,1.3332,100,1.09E+14
6.678571,0.620137,1.3332,100,1.82E+14
6.678571,1.126582,1.3332,100,3.18E+14
6.678571,1.835606,1.3332,100,5.56E+14
6.678571,2.828239,1.3332,100,9.25E+14
6.801637,102.0471,1.3332,100,2.68E+15
6.818182,105.3135,1.3332,100,1.35E+15
6.818182,106.2564,1.3332,100,9.68E+14
6.818182,106.9299,1.3332,100,7.02E+14
6.818182,107.4109,1.3332,100,5.22E+14
6.818182,107.7546,1.3332,100,3.99E+14
6.818182,108,1.3332,100,3.19E+14
8.300116,4.304323,1.3332,100,1.52E+15
10.08819,7.991418,1.3332,100,2.95E+15
10.75704,12.94774,1.3332,100,4.85E+15
10.82694,19.64261,1.3332,100,7.25E+15
10.86446,99.39319,1.3332,100,3.74E+15
10.89548,29.35729,1.3332,100,1.04E+16
10.99997,39.30961,1.3332,100,1.28E+16
11.0233,47.18663,1.3332,100,1.4E+16
11.04723,53.93881,1.3332,100,1.44E+16
11.06739,60.67237,1.3332,100,1.42E+16
11.10052,67.37334,1.3332,100,1.35E+16
11.15483,74.32859,1.3332,100,1.21E+16
11.1557,88.52025,1.3332,100,7.94E+15
11.21644,94.80865,1.3332,100,5.56E+15
12.14568,104.0968,1.3332,100,1.85E+15
13.35714,0,1.3332,100,7.08E+13
13.35714,0.261507,1.3332,100,1.1E+14
13.35714,0.627616,1.3332,100,1.85E+14
13.35714,1.140169,1.3332,100,3.25E+14
13.35714,1.857744,1.3332,100,5.71E+14
13.35714,2.862348,1.3332,100,9.51E+14
13.63636,105.2705,1.3332,100,1.38E+15
13.63636,106.2285,1.3332,100,9.89E+14
13.63636,106.9127,1.3332,100,7.15E+14
13.63636,107.4015,1.3332,100,5.3E+14
13.63636,107.7506,1.3332,100,4.03E+14
13.63636,108,1.3332,100,3.22E+14
13.79917,102.3161,1.3332,100,2.58E+15
14.68469,5.990413,1.3332,100,2.15E+15
14.92076,4.123849,1.3332,100,1.44E+15
16.20132,15.61568,1.3332,100,5.85E+15
16.28425,25.46053,1.3332,100,9.18E+15
16.45061,35.38761,1.3332,100,1.19E+16
16.51761,43.78403,1.3332,100,1.36E+16
16.56647,50.54493,1.3332,100,1.43E+16
16.58251,57.28278,1.3332,100,1.44E+16
16.60569,63.98427,1.3332,100,1.39E+16
16.7855,10.33068,1.3332,100,3.85E+15
16.80324,72.15809,1.3332,100,1.26E+16
17.02302,90.74108,1.3332,100,7.07E+15
17.05458,83.56126,1.3332,100,9.45E+15
17.11288,97.64486,1.3332,100,4.47E+15
19.60642,103.9426,1.3332,100,1.9E+15
20.03571,0,1.3332,100,7.11E+13
20.03571,0.267739,1.3332,100,1.11E+14
20.03571,0.642574,1.3332,100,1.89E+14
20.03571,1.167343,1.3332,100,3.32E+14
20.03571,1.90202,1.3332,100,5.83E+14
20.03571,2.930567,1.3332,100,9.69E+14
20.45455,105.1845,1.3332,100,1.39E+15
20.45455,106.1727,1.3332,100,9.98E+14
20.45455,106.8785,1.3332,100,7.2E+14
20.45455,107.3827,1.3332,100,5.31E+14
20.45455,107.7428,1.3332,100,4.02E+14
20.45455,108,1.3332,100,3.19E+14
20.74054,6.310623,1.3332,100,2.29E+15
20.92505,101.6005,1.3332,100,2.86E+15
21.02781,14.29852,1.3332,100,5.3E+15
21.12088,4.249811,1.3332,100,1.49E+15
21.45718,20.36364,1.3332,100,7.47E+15
21.81244,93.10848,1.3332,100,6.15E+15
21.89476,30.40839,1.3332,100,1.06E+16
22.01795,40.394,1.3332,100,1.3E+16
22.09119,60.63319,1.3332,100,1.41E+16
22.11012,47.16044,1.3332,100,1.39E+16
22.11613,67.27244,1.3332,100,1.34E+16
22.11759,53.914,1.3332,100,1.43E+16
22.78769,76.42865,1.3332,100,1.15E+16
23.42647,86.32746,1.3332,100,8.57E+15
23.81731,9.831309,1.3332,100,3.64E+15
24.09793,97.74253,1.3332,100,4.38E+15
26.38841,104.1435,1.3332,100,1.82E+15
26.71429,0,1.3332,100,7.15E+13
26.71429,0.274234,1.3332,100,1.13E+14
26.71429,0.658161,1.3332,100,1.92E+14
26.71429,1.195659,1.3332,100,3.4E+14
26.71429,1.948157,1.3332,100,5.97E+14
26.71429,3.001653,1.3332,100,9.89E+14
27.08902,6.369789,1.3332,100,2.3E+15
27.13633,16.9246,1.3332,100,6.27E+15
27.27273,105.0808,1.3332,100,1.44E+15
27.27273,106.1054,1.3332,100,1.03E+15
27.27273,106.8372,1.3332,100,7.38E+14
27.27273,107.3599,1.3332,100,5.41E+14
27.27273,107.7333,1.3332,100,4.06E+14
27.27273,108,1.3332,100,3.2E+14
27.40189,93.08648,1.3332,100,6.16E+15
27.41037,25.22001,1.3332,100,9.01E+15
27.44555,78.53781,1.3332,100,1.08E+16
27.55083,63.91254,1.3332,100,1.38E+16
27.60788,70.38251,1.3332,100,1.28E+16
27.65096,57.2576,1.3332,100,1.42E+16
27.70075,43.78599,1.3332,100,1.34E+16
27.74444,50.5457,1.3332,100,1.41E+16
27.7482,35.62453,1.3332,100,1.19E+16
27.84702,4.310626,1.3332,100,1.49E+15
28.1214,101.7951,1.3332,100,2.76E+15
30.18093,10.37416,1.3332,100,3.81E+15
30.49025,84.98471,1.3332,100,8.95E+15
