r,z,pressure,ne
180.3214286,0,2.6664,5.89E+14
187,0,2.6664,5.61E+14
225,0,2.6664,4.47E+14
166.9642857,0,2.6664,6.30E+14
173.6428571,0,2.6664,6.14E+14
160.2857143,0,2.6664,6.43E+14
153.6071429,0,2.6664,6.53E+14
146.9285714,0,2.6664,6.61E+14
140.25,0,2.6664,6.67E+14
133.5714286,0,2.6664,6.72E+14
126.8928571,0,2.6664,6.75E+14
120.2142857,0,2.6664,6.77E+14
113.5357143,0,2.6664,6.77E+14
106.8571429,0,2.6664,6.77E+14
100.1785714,0,2.6664,6.76E+14
93.5,0,2.6664,6.74E+14
86.82142857,0,2.6664,6.71E+14
80.14285714,0,2.6664,6.68E+14
73.46428571,0,2.6664,6.64E+14
66.78571429,0,2.6664,6.60E+14
60.10714286,0,2.6664,6.56E+14
53.42857143,0,2.6664,6.52E+14
46.75,0,2.6664,6.48E+14
40.07142857,0,2.6664,6.44E+14
33.39285714,0,2.6664,6.41E+14
26.71428571,0,2.6664,6.38E+14
20.03571429,0,2.6664,6.36E+14
13.35714286,0,2.6664,6.34E+14
6.678571429,0,2.6664,6.33E+14
0,0,2.6664,6.32E+14
224.727268,1.74E-17,2.6664,5.25E+14
224.3454431,4.19E-17,2.6664,6.39E+14
223.8108883,7.60E-17,2.6664,8.00E+14
223.0625116,1.24E-16,2.6664,1.03E+15
222.0147842,1.91E-16,2.6664,1.35E+15
195.9742829,0.045097657,2.6664,5.04E+15
6.678571429,0.258390454,2.6664,1.67E+15
0,0.258390454,2.6664,1.66E+15
13.35714286,0.26150672,2.6664,1.70E+15
20.03571429,0.267739253,2.6664,1.72E+15
140.25,0.273776342,2.6664,1.41E+15
133.5714286,0.27379988,2.6664,1.46E+15
146.9285714,0.27384241,2.6664,1.35E+15
126.8928571,0.273880775,2.6664,1.51E+15
120.2142857,0.273987512,2.6664,1.56E+15
153.6071429,0.274024354,2.6664,1.29E+15
113.5357143,0.274092872,2.6664,1.60E+15
106.8571429,0.274178413,2.6664,1.64E+15
26.71428571,0.274233792,2.6664,1.76E+15
100.1785714,0.274237429,2.6664,1.67E+15
93.5,0.274273892,2.6664,1.70E+15
86.82142857,0.274300984,2.6664,1.71E+15
160.2857143,0.274329765,2.6664,1.21E+15
80.14285714,0.274341574,2.6664,1.73E+15
73.46428571,0.27442577,2.6664,1.74E+15
40.07142857,0.274489875,2.6664,1.76E+15
66.78571429,0.274582436,2.6664,1.75E+15
166.9642857,0.274736284,2.6664,1.15E+15
60.10714286,0.274816027,2.6664,1.76E+15
