r,z,pressure,ne
0,0,2.6664,6.32E+14
0,0.258390454,2.6664,1.66E+15
0,0.620137089,2.6664,3.96E+15
0,1.126582378,2.6664,7.46E+15
0,1.835605782,2.6664,1.25E+16
0,2.828238549,2.6664,1.96E+16
0,4.594050799,2.6664,3.24E+16
0,7.493953556,2.6664,5.35E+16
0,11.69169824,2.6664,8.33E+16
0,19.06657191,2.6664,1.34E+17
0,28.32417332,2.6664,1.90E+17
0,38.85257872,2.6664,2.40E+17
0,47.25481549,2.6664,2.64E+17
0,54.00065546,2.6664,2.71E+17
0,60.74685042,2.6664,2.68E+17
0,69.35626511,2.6664,2.47E+17
0,80.40561449,2.6664,1.92E+17
0,89.69560361,2.6664,1.37E+17
0,96.44802976,2.6664,8.92E+16
0,100.7895543,2.6664,5.68E+16
0,103.05152,2.6664,3.93E+16
0,105.3134856,2.6664,2.21E+16
0,106.2563771,2.6664,1.51E+16
0,106.9298711,2.6664,1.00E+16
0,107.4109382,2.6664,6.47E+15
0,107.7545576,2.6664,3.91E+15
0,108,2.6664,2.40E+15
3.973150503,4.002719909,2.6664,2.84E+16
4.568829957,5.992545412,2.6664,4.32E+16
5.189005082,9.720912242,2.6664,7.02E+16
5.277939828,104.2292593,2.6664,3.06E+16
5.365570751,16.15244298,2.6664,1.15E+17
5.420442549,23.84512276,2.6664,1.65E+17
5.468068794,33.91598093,2.6664,2.20E+17
5.492516059,43.80711828,2.6664,2.57E+17
5.515561311,50.58949206,2.6664,2.69E+17
5.528953915,57.34132426,2.6664,2.71E+17
5.541928835,64.07740455,2.6664,2.62E+17
5.608358413,92.30942719,2.6664,1.20E+17
5.687819811,98.176899,2.6664,7.72E+16
5.712810543,70.93495596,2.6664,2.42E+17
5.744549729,84.94541048,2.6664,1.68E+17
6.678571429,0,2.6664,6.33E+14
6.678571429,0.258390454,2.6664,1.67E+15
6.678571429,0.620137089,2.6664,4.02E+15
6.678571429,1.126582378,2.6664,7.58E+15
6.678571429,1.835605782,2.6664,1.27E+16
6.678571429,2.828238549,2.6664,2.00E+16
6.801637181,102.0471011,2.6664,4.79E+16
6.818181818,105.3134856,2.6664,2.27E+16
6.818181818,106.2563771,2.6664,1.54E+16
6.818181818,106.9298711,2.6664,1.03E+16
6.818181818,107.4109382,2.6664,6.62E+15
6.818181818,107.7545576,2.6664,4.00E+15
6.818181818,108,2.6664,2.45E+15
8.300116187,4.304322671,2.6664,3.12E+16
10.08818968,7.991418363,2.6664,5.78E+16
10.75704013,12.94774001,2.6664,9.33E+16
10.82693674,19.64261275,2.6664,1.38E+17
10.86446425,99.3931873,2.6664,6.79E+16
10.8954825,29.35728728,2.6664,1.97E+17
10.99997165,39.30960523,2.6664,2.43E+17
11.02330089,47.18662535,2.6664,2.65E+17
11.04723056,53.93880914,2.6664,2.72E+17
11.06738978,60.67236825,2.6664,2.68E+17
11.10052145,67.37333597,2.6664,2.53E+17
11.15482991,74.32859031,2.6664,2.27E+17
11.15570146,88.52024597,2.6664,1.48E+17
11.21644389,94.80864666,2.6664,1.02E+17
12.14567834,104.0967709,2.6664,3.23E+16
13.35714286,0,2.6664,6.34E+14
13.35714286,0.26150672,2.6664,1.70E+15
13.35714286,0.627616128,2.6664,4.11E+15
13.35714286,1.140169299,2.6664,7.77E+15
13.35714286,1.857743739,2.6664,1.31E+16
13.35714286,2.862347955,2.6664,2.05E+16
13.63636364,105.2704965,2.6664,2.33E+16
13.63636364,106.228476,2.6664,1.59E+16
13.63636364,106.9127471,2.6664,1.05E+16
13.63636364,107.4015122,2.6664,6.78E+15
13.63636364,107.7506301,2.6664,4.08E+15
13.63636364,108,2.6664,2.49E+15
13.799169,102.3161445,2.6664,4.61E+16
14.68469236,5.990412773,2.6664,4.31E+16
14.92075556,4.123849469,2.6664,2.98E+16
16.20132093,15.6156802,2.6664,1.12E+17
16.28425077,25.46052923,2.6664,1.75E+17
16.45061064,35.38761098,2.6664,2.27E+17
16.51761143,43.78403129,2.6664,2.57E+17
16.56646812,50.54492574,2.6664,2.70E+17
16.58251274,57.28278356,2.6664,2.71E+17
16.60568687,63.98426552,2.6664,2.62E+17
16.78549587,10.33068056,2.6664,7.49E+16
16.8032401,72.15808959,2.6664,2.37E+17
17.02301516,90.74108286,2.6664,1.32E+17
17.05457552,83.56125852,2.6664,1.77E+17
17.1128794,97.64485933,2.6664,8.20E+16
19.60642418,103.942648,2.6664,3.32E+16
20.03571429,0,2.6664,6.36E+14
20.03571429,0.267739253,2.6664,1.72E+15
20.03571429,0.642574207,2.6664,4.21E+15
20.03571429,1.167343142,2.6664,7.94E+15
20.03571429,1.902019652,2.6664,1.33E+16
20.03571429,2.930566766,2.6664,2.09E+16
20.45454545,105.1845182,2.6664,2.37E+16
20.45454545,106.1726737,2.6664,1.61E+16
20.45454545,106.8784991,2.6664,1.07E+16
20.45454545,107.38266,2.6664,6.86E+15
20.45454545,107.742775,2.6664,4.09E+15
20.45454545,108,2.6664,2.47E+15
20.740539,6.310623065,2.6664,4.58E+16
20.92504924,101.6004888,2.6664,5.15E+16
21.02780909,14.2985228,2.6664,1.02E+17
21.12088286,4.249810813,2.6664,3.07E+16
21.45718387,20.36363595,2.6664,1.43E+17
21.81243782,93.1084828,2.6664,1.15E+17
21.89476054,30.40838715,2.6664,2.03E+17
22.01794544,40.39400138,2.6664,2.47E+17
22.0911926,60.63318709,2.6664,2.68E+17
22.11012152,47.16043654,2.6664,2.64E+17
22.11613456,67.27243813,2.6664,2.54E+17
22.11758918,53.91400434,2.6664,2.72E+17
22.78769228,76.42864911,2.6664,2.17E+17
23.4264714,86.32746183,2.6664,1.61E+17
23.81730986,9.831308632,2.6664,7.13E+16
24.09793451,97.74253442,2.6664,8.07E+16
26.388413,104.143458,2.6664,3.20E+16
26.71428571,0,2.6664,6.38E+14
26.71428571,0.274233792,2.6664,1.76E+15
26.71428571,0.6581611,2.6664,4.31E+15
26.71428571,1.195659331,2.6664,8.13E+15
26.71428571,1.948156855,2.6664,1.36E+16
26.71428571,3.001653388,2.6664,2.14E+16
27.08901844,6.369789011,2.6664,4.61E+16
27.13632652,16.9245958,2.6664,1.21E+17
27.27272727,105.0808367,2.6664,2.48E+16
27.27272727,106.1053815,2.6664,1.68E+16
27.27272727,106.8371993,2.6664,1.11E+16
27.27272727,107.3599262,2.6664,7.09E+15
27.27272727,107.7333026,2.6664,4.19E+15
27.27272727,108,2.6664,2.50E+15
27.40188863,93.08647554,2.6664,1.15E+17
27.41037123,25.22001168,2.6664,1.73E+17
27.44554796,78.53781471,2.6664,2.06E+17
27.55082698,63.91253859,2.6664,2.62E+17
27.60788411,70.38251209,2.6664,2.43E+17
27.65095943,57.25759699,2.6664,2.71E+17
27.70074578,43.785994,2.6664,2.57E+17
27.74443554,50.54570046,2.6664,2.69E+17
27.74820127,35.62453367,2.6664,2.28E+17
27.84701587,4.310626435,2.6664,3.10E+16
28.12140131,101.7950539,2.6664,5.01E+16
30.18093379,10.37415812,2.6664,7.48E+16
30.49025468,84.98470765,2.6664,1.70E+17
30.92617319,97.7914317,2.6664,8.04E+16
32.03383482,22.04578619,2.6664,1.53E+17
32.71445955,6.330161895,2.6664,4.57E+16
32.85158756,67.14465679,2.6664,2.54E+17
33.09931681,60.61414097,2.6664,2.68E+17
33.26797918,104.0618825,2.6664,3.26E+16
33.36740217,53.94028378,2.6664,2.71E+17
33.37268249,40.50885629,2.6664,2.46E+17
33.39285714,0,2.6664,6.41E+14
33.39285714,0.275281815,2.6664,1.77E+15
33.39285714,0.660676356,2.6664,4.33E+15
33.39285714,1.200228714,2.6664,8.18E+15
33.39285714,1.955602015,2.6664,1.37E+16
33.39285714,3.013124636,2.6664,2.15E+16
33.52204075,47.22066805,2.6664,2.64E+17
33.5299539,75.50029892,2.6664,2.22E+17
34.02684296,16.33874721,2.6664,1.16E+17
34.06986683,91.58529636,2.6664,1.26E+17
34.09090909,105.010024,2.6664,2.53E+16
34.09090909,106.0594221,2.6664,1.71E+16
34.09090909,106.8089922,2.6664,1.13E+16
34.09090909,107.3443994,2.6664,7.21E+15
34.09090909,107.7268331,2.6664,4.24E+15
34.09090909,108,2.6664,2.50E+15
34.11349275,31.44199045,2.6664,2.08E+17
34.3514048,4.248538037,2.6664,3.06E+16
34.48353824,101.8459058,2.6664,4.96E+16
36.68507861,10.17813998,2.6664,7.33E+16
37.14736496,83.86889453,2.6664,1.77E+17
37.71785302,97.49946171,2.6664,8.27E+16
37.97510727,69.45080124,2.6664,2.47E+17
38.24090168,37.63505961,2.6664,2.35E+17
38.29623396,24.7890471,2.6664,1.70E+17
38.68940628,63.82718402,2.6664,2.62E+17
39.00510948,57.27346638,2.6664,2.71E+17
39.18342234,50.73129341,2.6664,2.69E+17
39.76355612,43.81558387,2.6664,2.56E+17
39.95627577,103.8107614,2.6664,3.44E+16
39.99264921,6.463278746,2.6664,4.64E+16
40.07142857,0,2.6664,6.44E+14
40.07142857,0.274489875,2.6664,1.76E+15
40.07142857,0.658775699,2.6664,4.30E+15
40.07142857,1.196775854,2.6664,8.11E+15
40.07142857,1.94997607,2.6664,1.36E+16
40.07142857,3.004456373,2.6664,2.13E+16
40.08724163,15.29404318,2.6664,1.09E+17
40.73566651,92.28080699,2.6664,1.21E+17
40.90909091,104.9806709,2.6664,2.54E+16
40.90909091,106.0403711,2.6664,1.72E+16
40.90909091,106.7972998,2.6664,1.14E+16
40.90909091,107.3379632,2.6664,7.24E+15
40.90909091,107.7241513,2.6664,4.25E+15
40.90909091,108,2.6664,2.51E+15
40.9812225,4.370771601,2.6664,3.13E+16
41.19193073,74.13270542,2.6664,2.29E+17
41.83083541,101.3366733,2.6664,5.35E+16
41.95397045,33.20243825,2.6664,2.15E+17
43.52653501,83.45675471,2.6664,1.79E+17
43.56078369,9.685289855,2.6664,6.95E+16
43.68294116,38.05219512,2.6664,2.36E+17
44.3118669,68.03966395,2.6664,2.51E+17
44.52362093,54.1072889,2.6664,2.70E+17
44.61049435,97.20784709,2.6664,8.47E+16
44.78231348,24.86867015,2.6664,1.70E+17
45.04771307,48.40939696,2.6664,2.65E+17
45.21675379,60.5288876,2.6664,2.67E+17
46.72078404,103.8374791,2.6664,3.42E+16
46.75,0,2.6664,6.48E+14
46.75,0.275005839,2.6664,1.76E+15
46.75,0.660014013,2.6664,4.29E+15
46.75,1.199025457,2.6664,8.06E+15
46.75,1.953641479,2.6664,1.35E+16
46.75,3.010103909,2.6664,2.11E+16
46.80245545,6.633297227,2.6664,4.73E+16
46.91246864,74.21119221,2.6664,2.28E+17
47.0513781,15.49051462,2.6664,1.09E+17
47.1769671,42.8598208,2.6664,2.51E+17
47.48159497,90.67734218,2.6664,1.32E+17
47.53797376,4.478657142,2.6664,3.18E+16
47.58065208,32.74659837,2.6664,2.12E+17
47.72727273,104.9728368,2.6664,2.55E+16
47.72727273,106.0352865,2.6664,1.73E+16
47.72727273,106.7941792,2.6664,1.14E+16
47.72727273,107.3362455,2.6664,7.26E+15
47.72727273,107.7234356,2.6664,4.27E+15
47.72727273,108,2.6664,2.52E+15
48.6710488,101.0918445,2.6664,5.53E+16
48.96713908,56.03568677,2.6664,2.69E+17
49.5000328,64.43953902,2.6664,2.59E+17
49.72158763,51.66420262,2.6664,2.68E+17
50.0274104,37.93949876,2.6664,2.34E+17
50.09256168,47.02136349,2.6664,2.61E+17
50.22142958,10.52013789,2.6664,7.46E+16
50.4527317,83.54061263,2.6664,1.78E+17
50.52421995,24.93569698,2.6664,1.70E+17
50.89600468,69.2693307,2.6664,2.46E+17
51.29489876,96.94342052,2.6664,8.63E+16
51.64449727,60.05754467,2.6664,2.66E+17
53.19633537,43.16051848,2.6664,2.51E+17
53.42857143,0,2.6664,6.52E+14
53.42857143,0.2750432,2.6664,1.76E+15
53.42857143,0.66010368,2.6664,4.27E+15
53.42857143,1.199188351,2.6664,8.03E+15
53.42857143,1.953906892,2.6664,1.34E+16
53.42857143,3.010512848,2.6664,2.10E+16
53.44620422,6.681818489,2.6664,4.72E+16
53.57860729,16.92985094,2.6664,1.18E+17
53.61119469,103.7391175,2.6664,3.48E+16
53.61555605,75.19083865,2.6664,2.22E+17
53.84619397,55.00543681,2.6664,2.68E+17
53.8658075,31.82396857,2.6664,2.06E+17
54.26924349,90.63461118,2.6664,1.32E+17
54.42668768,4.504054399,2.6664,3.17E+16
54.46638399,101.2516159,2.6664,5.39E+16
54.54545455,104.9698535,2.6664,2.55E+16
54.54545455,106.0333503,2.6664,1.73E+16
54.54545455,106.7929909,2.6664,1.14E+16
54.54545455,107.3355913,2.6664,7.26E+15
54.54545455,107.7231631,2.6664,4.28E+15
54.54545455,108,2.6664,2.53E+15
54.72719554,64.71859716,2.6664,2.58E+17
55.36436449,49.15147465,2.6664,2.64E+17
56.60343845,37.91545533,2.6664,2.32E+17
56.80361791,10.84329341,2.6664,7.61E+16
56.80683847,23.50593941,2.6664,1.59E+17
57.57197084,82.29141375,2.6664,1.85E+17
57.57601103,69.60789064,2.6664,2.44E+17
57.60966825,59.61532601,2.6664,2.65E+17
57.8473146,97.04228177,2.6664,8.54E+16
59.67740459,43.31698899,2.6664,2.49E+17
59.78641601,31.22274116,2.6664,2.02E+17
60.06415975,16.28352333,2.6664,1.13E+17
60.10714286,0,2.6664,6.56E+14
60.10714286,0.274816027,2.6664,1.76E+15
60.10714286,0.659558466,2.6664,4.23E+15
60.10714286,1.198197879,2.6664,7.93E+15
60.10714286,1.952293058,2.6664,1.33E+16
60.10714286,3.008026309,2.6664,2.07E+16
60.11246595,6.908363248,2.6664,4.83E+16
60.17886231,54.2801768,2.6664,2.66E+17
60.57274875,103.4208417,2.6664,3.71E+16
60.83153811,91.38852059,2.6664,1.26E+17
60.98319463,4.584778501,2.6664,3.19E+16
61.1097157,64.48303256,2.6664,2.57E+17
