% Model,2D_ICP_pressure_power_mph.mph,,,,,
% Version,COMSOL 6.0.0.405,,,,,
% Date,"Oct 23 2022, 22:03",,,,,
% Dimension,2,,,,,
% Nodes,3263,,,,,
% Expressions,5,,,,,
% Description,Electron density,,,,,
% Length unit,mm,,,,,
% r,z,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=100 W,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=200 W,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=300 W,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=400 W,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=500 W
219.6230497,-150,3.44E+12,7.57E+12,1.18E+13,1.60E+13,2.03E+13
222.045279,-150,3.29E+12,7.23E+12,1.13E+13,1.53E+13,1.94E+13
219.6700944,-145.6239948,3.48E+12,7.65E+12,1.19E+13,1.62E+13,2.05E+13
209.6805416,-145.0052918,3.87E+12,8.50E+12,1.32E+13,1.80E+13,2.28E+13
205.7704535,-150,3.87E+12,8.51E+12,1.32E+13,1.80E+13,2.28E+13
214.7310774,-150,3.69E+12,8.10E+12,1.26E+13,1.71E+13,2.17E+13
215.9478343,-145.0802793,3.68E+12,8.09E+12,1.26E+13,1.71E+13,2.16E+13
202.273696,-145.0022084,3.90E+12,8.56E+12,1.33E+13,1.81E+13,2.29E+13
196.8098295,-150,3.72E+12,8.17E+12,1.27E+13,1.73E+13,2.19E+13
195.8875271,-144.9603026,3.73E+12,8.20E+12,1.28E+13,1.73E+13,2.20E+13
192.0724287,-150,3.50E+12,7.69E+12,1.20E+13,1.63E+13,2.06E+13
191.8868401,-144.6777018,3.54E+12,7.79E+12,1.21E+13,1.65E+13,2.08E+13
189.8662248,-150,3.36E+12,7.39E+12,1.15E+13,1.56E+13,1.98E+13
180.3214286,0,1.40E+14,2.92E+14,4.44E+14,5.95E+14,7.47E+14
187,0,1.35E+14,2.81E+14,4.28E+14,5.75E+14,7.21E+14
180.3214286,0.766136039,4.58E+14,1.05E+15,1.67E+15,2.29E+15,2.91E+15
